,nama_tempat,rating,jumlah_ulasan,alamat,link,thumbnail,kategori
20,Agrowisata Paloh Naga,4.4,383.0,"Jl. P.Naga, Denai Lama, Kec. Pantai Labu, Kabupaten Deli Serdang, Sumatera Utara 20553, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJYRBvNsNNMTARhVAsIBpofls,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noR4cFAa6bjA1gfdUqIXg7u5ZALhxnCpmAny62S37r_ce5JfGdz8QVlhPQz2XpAXLOwB-6ePIrmrrSt9P5PyHbbGtIuQuhVGGoA57yoM8FltfRX8OxfWClmsFgRYFjer6TQh_nL=w92-h92-k-no,Wisata Kuliner
21,Pasar Kamu (Pekan Sarapan Karya Anak Muda),4.7,476.0,"JWPF+XQQ, Jl. Perintis, Denai Lama, Kec. Pantai Labu, Kabupaten Deli Serdang, Sumatera Utara 20987, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJoVWahTFLMTAR5hdAfX2anlo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr0Y1cPlUf_IUt_IuN0SgciL9JPl9fXHXeQOr2Q85JIufGtgqWC8Yafl58oiABfGctoN-NK_FMQeXMjd61GwEQbTkoamv9fu3xt_Cq_sY8i7tAdLBQ5L9R-sAeGAnZFH0u5Ced9MQ=w122-h92-k-no,Wisata Kuliner
22,Wisata kuliner cinta lisa,5.0,1.0,"HCRW+CPC, Jl. APDN, Padang Brahrang, Kec. Selesai, Kabupaten Langkat, Sumatera Utara 20715, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJMdXmzxLXMDARaEL9Zqo-KY0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gwLKxYYwnNmW__LB_UeEmA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=245.02217&pitch=0&thumbfov=100,Wisata Kuliner
23,Rumah Makan Kebun Pondok Punokawan,4.3,2365.0,"JF3G+G8H, Limau Mungkur, Binjai Barat, Binjai City, North Sumatra 20743, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ7Y9t48rXMDARCLyv4NTLp8k,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrUTp31Ar_7MmVqMhu9E77TXjKipWlJS5sp4JJvCQwhJUuGaxv6FQc8DRhklkp0rU2xEYqHWIRiKdOkpVOwdpTCJjW3IJQl1Yn-EEILBVYlQMUvrkmwVnrGvzhBc0RXeQfKO6FmCg=w163-h92-k-no,Wisata Kuliner
24,Pondok Naga Pantai Galau,3.8,526.0,"Jl. Dakwah, Kwala Silau Bestari, Tanjungbalai Utara, Kota Tanjung Balai, Sumatera Utara, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJcTYiZFZRMjARmpIieEBke-I,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrfzSG9eD6_xdTOEmKCjbSMvr2AAUWu5Wg_9U8HHthQPKOdYufsSvNbHrDqWVfls8EwekE4588ska-GlyjbJtf45vLM2ixLXqRtQyn8cOvK9uKDgpW61LEega4LmQKi5NR6Sro=w163-h92-k-no,Wisata Kuliner
25,SIMPANG BODREX (Kuliner Pasar Miring),4.6,21.0,"79W8+44Q, Sipare-Pare, Kec. Air Putih, Kabupaten Batu Bara, Sumatera Utara 21257, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ6ULLfFXdMzARkVAnVsjrB38,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np9TPSx53M0nPuT_FCGhnMrU-QLnf3fncWkdjD-mdQCVsxviHfPATsm_V9EIWWyZSSAQsVzZ3-hB319JDeH2M6cPA7S3-JyQR3ciuhfL__weJQdk_J00xnIzJbk6752uNzE5cxDag=w129-h92-k-no,Wisata Kuliner
26,Hasnah Kuliner,3.8,224.0,"Jl. Sei Asahan No.77, Padang Bulan Selayang I, Kec. Medan Selayang, Kota Medan, Sumatera Utara 20154, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJG9DO6VsvMTARZLk9anSYPjc,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqhwX1VGPjFm6fBIFCNrxaFT3SSuJylV9LRm7nSGvJehKM0sqTeHNIyuz1siU9EJ8PyREPepKznkfwwdN-kh9bQhzla9tSBl4GtqL7rs4Gr2zMXUr2jiHO9XEkncVSDaxPMrmYmuQ=w163-h92-k-no,Wisata Kuliner
27,Gundaling Farmstead,4.3,3450.0,"Jl. Tahura 1 Ds, Jl. Lau Gumba, Kec. Berastagi, Kabupaten Karo, Sumatera Utara, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ-QDGuccCMTARn7TWHN_qiPM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqJa9RVn2d5lNcLMuagswXTv8N4WkkqO4pRjTEws6SCcmr14AvMxRwGPV4ewQDZSQkbsbljVWr8Cnqj6f2VviaW5lnaUX6DOzg40kj5qJsoG_JNY-sbicp6Ka_8AdUq3_F-Bw7E6w=w122-h92-k-no,Wisata Kuliner
28,Restoran Terapung,4.0,349.0,"PQ8M+FRX, Desa Bagan Percut Ujung, Kec. Percut Sei Tuan, Pematang Lalang, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara 20371, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJD_T5oCPLNjARyJd6Tws7-gM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npS5GoJsm51fDDxoT8z9vUE747PD7Hw83esJSHbPxFD6HDYJLu-T704gxzJiZ559aFkD3umqlR446_rhDi5NjssJVXNqKUplr6cEbqjwhK1c9CEi6jEu6zK8ezgr61sFp04VCA=w163-h92-k-no,Wisata Kuliner
29,Bihun Bebek Asie,4.3,1102.0,"Jl. Kumango No.15, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20212, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ5Tn4p9kxMTARh7aBQkw7sPE,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nreKaHZYY8Gf1yg0RqN0pbiyfD9SOYF0cUf93_OelZuctjhya3fIECHMy_K1kOe29tm5cI9KelP6HTyo2lr0CqhBO2A32-_fOsDFIUcE3BPoWqhZmmzAT1vcd1Iqc4EgBKgSGdB=w122-h92-k-no,Wisata Kuliner
