,nama_tempat,rating,jumlah_ulasan,alamat,link,thumbnail,kategori
20,Wisata Alam Datuk,3.9,1152,"Kwala Indah, Kec. Sei Suka, Kabupaten Batu Bara, Sumatera Utara 21256, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJwRh-z73BMzARDakEMMs6ZVo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npKylX2DJhcWEnfsbzTOtg2YEkHn1rg9hgN4lbQnN62WaohejWo7ZuPrAgfwo38eUH-9AoOwN-zJkd2SsezPEznnQYjcEklMxzusfEaHOEkmbtI-BBm0cJt-UxSneuYRdkEH23L_g=w80-h106-k-no,Wisata Belanja
21,Wisata Kampong Lama,4.6,149,"Jl. Utama Dusun II, Denai Lama, Kec. Pantai Labu, Kabupaten Deli Serdang, Sumatera Utara 20553, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJfUGqSjJNMTARG87jamgOELo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no__pkvu8WpleC5QTHTRZZwWw74huYapImwTH2wmZYm5Jyn8HeQaBAzBShtYG7tQi4uYF1Sn4qNZOF5WNMJ1JEAiUQyvJmYytB5CxCi1vnX01_niR1RhGnxG9UVO7AkyV-HLu2rYA=w122-h92-k-no,Wisata Belanja
22,Pekan Minggu Percut Sei Tuan Deli Serdang,4.3,330,"MQJ3+37J, Cinta Rakyat, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara 20371, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJn21sUJ80MTARiIRXUN0WG00,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npEu6a62d7CB9Lo1xd8nZqSyK2Pdmsf4C7po_xbvGNyw823rIWJKIPxVfQDtAPmRLwg6baeUUtRjxeYvqC4m7z3YEvFjk9KGCyGh1OT2U85IVdfQCW3_fajW6OqCoqg7U14d4y3=w122-h92-k-no,Wisata Belanja
23,Thamrin Plaza,4.5,12790,"Jl. M.H Thamrin R No.75, Pandau Hulu I, Kec. Medan Kota, Kota Medan, Sumatera Utara 20214, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJiRdq6rExMTAR6KfRLmeXVAk,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqnw6jc3Vj_wzapdD3CFEm5-_uymnL4cjavpM_DYPyMX5GTvX2b8e88o_DwvhmUNVY-YyEHitk-uNFJBIXoOl1rW6OoL-ojSjeODMeR1dFrzduIzOJowzDUur1Xqhk-W2vEWzLjRw=w122-h92-k-no,Wisata Belanja
24,Tanjung Unta,4.4,51,"Jalan St. H.H. Damanik Tambun Raya Pamatang, Tigaras, Kec. Dolok Pardamean, Kabupaten Simalungun, Sumatera Utara 21186, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJof6T07u_MTARfb5FBz7_gUs,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqH_12G76FoCRQ5XB5Q4cBCCKs2kQAcUDLWXOhQH5c1OLLxQJj-r-TOZBHVeduXVf-mUEcKwrpq33FQrfMZ9wFUCRXGD5tfsWQfDDpZZP4Yzk0rQpDU6OPTj4Q_sYEl3l2P6IiQ=w163-h92-k-no,Wisata Belanja
25,Manhattan Times Square,4.5,16116,"Jl. Gatot Subroto No.217, Sei Sikambing B, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20123, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJq4PHAlAuMTAROJAXgTnYqfI,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrqMMxta8hyIEXr19dece5VORU3BNVeE-czBxZN6zniKq0Vwvn5XzDl5jZT--fMwgDZ418kpJb6bSO1M1utrRFdGbCPzpqDpjTVc1Eu9GcN81-fXcIV_Ufw6dRpL9fM9TctI21K=w122-h92-k-no,Wisata Belanja
26,Pusat Pasar Pangaribuan,4.3,294,"2556+CXP, Jl. Sisingamangaraja, Pakpahan, Pangaribuan, North Tapanuli Regency, North Sumatra 22472, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJWz9LKkl2LjAReqmbLMRe5Yw,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npv6tIs2zzg-6dOowysY1cM0iu2yVlJHVdiqv8d_Ys1tXQ_ZVhS-vMeuQHsItzXZZ20oI9jvtQftW2GOgCHPVCY1xPkPFYU-3ZVi6n20Wygf4i6M9Ak6kCCjp2p13Nu9t1luJ6aAQ=w122-h92-k-no,Wisata Belanja
27,Taman Bunga Sapo Juma,4.5,268,"WG69+M82, Tongging, Kec. Merek, Kabupaten Karo, Sumatera Utara 22173, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJlW-5PnutMTARKY0lFrdvVYw,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nocE-gZxT5iX3qKQPn4dQrv8vrljsKmHJkbhZWHmLbmR19EBmZw2nL9v99jG2VO13faOrit4EMGA97YXckuMUSY9XOFmWbzROg7F2GDzjsVrZFl1bnMvYxru51NDFPe70dikh6_=w163-h92-k-no,Wisata Belanja
28,Tikung Point,4.4,644,"Jl. Brig Jend. Zein Hamid, Titi Kuning, Medan Johor, Medan City, North Sumatra 20146, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJrUZcJlk7MTARKqWeNElVJG4,https://lh3.googleusercontent.com/p/AF1QipO8UBqdER2xxCpSrUBV8qaeMxx_Wp1mI6jbSTaF=w122-h92-k-no,Wisata Belanja
29,Tjong Yong Hian Gallery,4.4,87,"HMP9+GJG, Jl. Kejaksaan, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20151, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJte58l9ExMTAR6qHrIZChoSk,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqkPzISvDHjnm-cwoOAPfFMpK3PxMr4S81jzkQdaSiaEw3Jzkvvlqk1lszjX5nCjfkfdrisYbngQgg8SVca0aGRm8Exyi6udT1WiF_DjEpSHDTEQYKhTXHvXzWZw4xibE5NBVuM=w138-h92-k-no,Wisata Belanja
