,nama_tempat,rating,jumlah_ulasan,alamat,link,thumbnail,kategori
20,Wisata Alam Peken Tebu,4.5,140,"8HG7+8WF, Tambunen, Kec. Sibolangit, Kabupaten Deli Serdang, Sumatera Utara, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJoWxJnswfMTAR4FeuL3xEwU0,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npnV2XHTyh1X7NSknKROvEqKiOB00tZERSsykX48LEwAQ6YOz1X0S9cyrirXvEfWyUji-DEvmNN40wQrZaibyWu3v6UoSyfKyGTLpsTfejMj5eyxN2iRpuqiZ8RUiglrWKfpbBcYg=w163-h92-k-no,Wisata Alam
21,Wisata Alam Pohon Damai Simempar,4.3,102,"Jalan Besar Desa No.99, Saran Padang, Kec. Dolok Silau, Kabupaten Simalungun, Sumatera Utara 20583, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJM-zr_T8IMTARx-DGSQkysl8,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np2K9PHPDXFGwUwLTyESFyfrYF_Zn2cywev2Y27P5oVZsXh4x-0RaNqhbB6hxDB9ZBwp0KH5x5nkbG0jn3ox9q397IBsC-_nbLX-4ZEMuQ_HbSWhVH3bXqblKAf9UPDZ8mrdPOw=w124-h92-k-no,Wisata Alam
22,Bukit Lawang Wisata Alam,4.5,1092,"H42F+6XC, Jl. Orangutan, Bukit Lawang, Kec. Bohorok, Kabupaten Langkat, Sumatera Utara 20852, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJgclTZQDJMDARozqCEx8qwCk,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrU_9TndF7FBd6LSQXDgt6JorAceNZIlfURDkz6MdMcEjpcUOz2NGoOah2B5AeX4kcXl-U6pg18ubYcesU7e26jXl7jt3DWgdo-6COvgpFsFxIrBR80EzJKXmLF6j9IJ4oe_EwHcw=w122-h92-k-no,Wisata Alam
23,Danau Toba Parapat,4.7,4520,"MWMG+GCG, Jl. Siborongborong - Parapat, Sibaganding, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ0VeI7ArsMTAR1JSC5rhTwWQ,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nop7yMLZPw5CKCEyHc6lrI3zcyExaxe1op8X7U9-VDJ8fAMb0Dc0dbm-PgBY6eHlLSiRF-Fn4AKHlGP8R2HYjn2S96JcxVb5U_EU6pgZDWhlLkrbY5lMT8LUwzEgKYlo81jji5faQ=w163-h92-k-no,Wisata Alam
24,Wisata Anugerah Indah Sippan,4.6,494,"Desa Sippan Tigaraja, Kecamatan Pamatang Silimahuta, Naga Saribu, Kec. Pamatang Silima Huta, Kabupaten Simalungun, Sumatera Utara 21167, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJK91TWZStMTAR-fvbxdMazhg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npafujcBj2Mw5CkNhR78ek-eWR-sOIjAjVP7by3-SAzLgYDsLaFo5YySEY0zZdexpVytr2Apc7e3852-Etko141CbLZJlY9QmYTlVDsxeLCE1OEyw-eE2JwlRR2m-7lyHHOYs0CLw=w163-h92-k-no,Wisata Alam
25,GaBOk,4.5,752,"Pangambatan, Kec. Merek, Kabupaten Karo, Sumatera Utara 22173, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJMcFOEZmyMTAR9oqKLBsBYNo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np1_2La3pVS6Kw50sHUo9Tl8TvwUIdZaxVHpSWG3kxJtA9KtifqkKm_-j8s7-di1bjdUexjs2cN37yUN1NxJe8Fi_FcqUWK79RTUSVDRvY_DRx2q2s_uYn1WEPrdspqi2lkGmlF=w175-h92-k-no,Wisata Alam
26,Danau Aek Natonang,4.4,288,"HV7M+FC2, Aek Natonang, Tanjungan, Simanindo, Samosir Regency, North Sumatra 22395, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJQzushEvmMTARCP9p_Xs6SR0,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqr7Dm83P7Fqsw_dY56ZLJriHlLEezUZDClJQnFr8f-oTn95JgJzud946-QOnKE0IO3JZMIZoSHbp8P09euzbLHjwYWYSeTjgZpHygAbqu6x04-zih1M_Za0NZUmHUv6kd-Ue0d=w122-h92-k-no,Wisata Alam
27,WISATA ALAM PASIR PUTIH PARPAREAN,4.7,11,"C4JX+JRR, Unnamed Road, Parparean II, Kec. Porsea, Toba, Sumatera Utara 22384, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJm5vGpSL_MTARoW05vTzHAws,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npwlYL9M9P1_dtPhEvE6fXaKU-b9YJoPifufwqyIf3OTnpxHl3nLnV_nk1jJnafu9BIOSVXQxBnLbblS7ztjzkxa1PiUu2tRPK-p1u6XVIRv1ZNx0Vpa_kmVf66xeGVMxDMpNa90A=w124-h92-k-no,Wisata Alam
28,Wisata Alam Paya Sihorkor,4.5,20,"GMC6+CPQ, Jl.baru, Gn. Tua Jae, Kec. Padang Bolak, Kabupaten Padang Lawas Utara, Sumatera Utara 22753, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ2-hSokZDLDAR6gHLLoZXDYM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noOPGZFzlA-IEBNs566i0JU8X4CjioyNxoohPuoFa5NrjoI5tdx245NoTwRcgLdk25d5DCojKLSg3Mk-_jJVcEFyef4Q8Ee5uGUAWsnxzIiFcmvib3EDQgwddE0vQDzXeL84TDH=w122-h92-k-no,Wisata Alam
29,Geosite Sipinsur,4.6,4966,"Parulohan, Kec. Paranginan, Kabupaten Humbang Hasundutan, Sumatera Utara 22476, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJEyuTER4ZLjAR4dOwLp_C_0c,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npovLxeFXlkkzimvR1SiXcR4BbHfqSVp4w3muO5dqHNPiMjNhiObeTDK6SH94Nc81j6Nkf_VhVP50u4-I4YowNhwJLC-_FBQ4vF1FhUHYGw5BGJoQPbapx6M5qC3EN_FjwBOWs=w80-h100-k-no,Wisata Alam
