,nama_tempat,rating,jumlah_ulasan,alamat,link,thumbnail,kategori
20,Taman Biro Rektor Universitas Sumatera Utara,4.6,325.0,"USU, Kompleks, Jl. Dr. Mansyur, Padang Bulan, Medan Baru, Medan City, North Sumatra 20222, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJR3H6JNkvMTARhG6tc8rCkYw,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq7VS4FmyaZSkwMVl48OdlFunQQfIo10IcytimN0ARJdEdcK9QrTdo9T284ht0IhdkhlQBwAxKbEKn_tfonUOkyJJO20hiRdZ2-f-d8BYc6X5gn0y6gPRVV_VdUzL0mtsX7yVhy=w122-h92-k-no,Wisata Edukasi
21,Taman Wisata Alam Sibolangit,4.5,486.0,"8HJJ+297, Sibolangit, Kec. Sibolangit, Kabupaten Deli Serdang, Sumatera Utara 20357, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJOU0cNjAZMTAReUxDRaBj-Bo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npa9JyETBLIt9EaszvtnKX_dyyPvxWVlDlv4arErEkhaUfYCMPdmkhjdFF9ehHDFuuhf5lG-cGM0EGmmhNzt79fg87JV7BOf5ULaFjzZ4KKBsrpd6Cbt9waOBRm_cBILtYU_G-IGA=w122-h92-k-no,Wisata Edukasi
22,Sibiobio Adventure Park,4.1,275.0,"G62G+3P, Huraba, Sibio-Bio, Angkola Timur, Tapanuli Selatan, Sibio-Bio, Kec. Sipirok, Kabupaten Tapanuli Selatan, Sumatera Utara 22733, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJB38caYEfLDARyfTtjwyRF-4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no11V5_cU335aNPqN7mZn4j0w8cU2l1Xtfc7C-0Gxga7soDnTLxpjUrtEhfe36ifIiVyAVmMHhoKh1kQpz-wuG2cLzZzYS3Hl5GzGY0lPAoTE5VkGvPIuup5NEmXcoCiOvlRwK7dA=w163-h92-k-no,Wisata Edukasi
23,T.GARDEN Little Bali in Medan,4.2,1212.0,"Jati Kesuma, Kec. Namorambe, Kabupaten Deli Serdang, Sumatera Utara 20353, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJFzkJ0JskMTARr9bx-u9LvVU,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrHgCAugNfOOEZcYuTs8wKHcO3I8rAmR9iR_uo9hiwDkmeuyDJY7zh6Jc7H2qWUVAekc4atkD6vbKgQxJqLnzLfEWyS1YcY3GAfjUc8yUaxYvXbb8Mz_S3eTmXHjXyoAOrlY5QuBA=w122-h92-k-no,Wisata Edukasi
24,Air Terjun Sikulikap,4.5,2961.0,"6GWM+5HH, Desa Doulu Kabupaten Tanah Berastagi, Martelu, Kec. Sibolangit, Kabupaten Karo, Sumatera Utara 20357, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJx0-3Wt0cMTARKZOuQJM9aHI,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqprGfOpeX0bkZVZTe0rntUlPyt1yz55PWoQlK5BB4tKEPOYAduh1ylqljMoQp3beXORXCAKwSH7MZ4FRwQU0Ay4UIfWBkK7tpjoCGGKkXi53Ed7a3azamWqJf2WNGHMamnvW71=w163-h92-k-no,Wisata Edukasi
25,Museum Negeri Sumatera Utara,4.5,2768.0,"Jl. HM. Joni No.51, Teladan Bar., Kec. Medan Kota, Kota Medan, Sumatera Utara 20217, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJH0WmUVowMTARis9K2WYgan4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqQwsLWKrU9uAPgaYqSSbrvnr4wjvH0XWmyIpizFN4OdoIF3KWh7bOHHBRoyebwzlpQ8brIdsdKUqytG8x_oB9mO3TrGw2q1rjE_BXx9s616eMMBmWZEnpKy2t7L8Ww_duGzlnbpw=w123-h92-k-no,Wisata Edukasi
26,WISATA ALAM KASIH,4.3,117.0,"7GQC+P6V, Unnamed Road, Bandar Baru, Sibolangit, Deli Serdang Regency, North Sumatra 20354, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJma6RzY4dMTARYwiPsLKPTKU,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npYTI7u9IQyV6pd-l83k5xHjGUb8VIqbfIFLRQJd-2KFq48NOf6I7yjuS2yJRH-EVNaMuLErMd8aL5U6hJ67CwMWBCa0SKIieATFlrtX3hgqzQj3hYDhl_7nbLf1ewWqzbIIWYZdA=w138-h92-k-no,Wisata Edukasi
27,Wisata Merci Themepark and Resto,4.5,5060.0,"komp.Medan Resort City, Jl. Perjuangan, Deli Tua, Kec. Namorambe, Kabupaten Deli Serdang, Sumatera Utara 20143, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJeaibaZY7MTARsinvW6PAiqI,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr27BwuJaItxKk4kpWDN4speubVpzWDy4tMguCgR0E4RfQjSdgkFkYeozQTye2Ha-kF55d38yFikq4F0vokmMI6DjHUfata7KOn6wJnKnek8e-i5k9tdbQQ-W9p7zvY-j1Z4hWg=w138-h92-k-no,Wisata Edukasi
28,Taman Burung Cemara Asri,4.3,2492.0,"Komplek Cemara Asri, Jl. Cemara Asri Boulevard Raya, Medan Estate, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara 20371, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJtUMMEzQyMTAReKnbSCn-5_g,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npls5sChMzTR4c5qulVAfx-rmfVwd3UwKcPHUB2qi5tiyR48q5dAzvCYvWlrVcwBWpM0sMtufEWJODa-Ns-LygU0afHRafupqq_pM2QKj1ErKoWeCt7NT3Z-d9wcOAiBHOBvRw=w122-h92-k-no,Wisata Edukasi
29,Potret Edupark,4.2,60.0,"Salam Tani, Kec. Pancur Batu, Kabupaten Deli Serdang, Sumatera Utara 20353, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJAf0MojElMTARVlbDYWGtuRM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noGZUi-hLF-YUsiRDhVJUNfBPxjKilB0QtZJbkzmWPf-xfa1-oVtpd1EcuGoy3OLY2IID22G_-k_ASWAbfW5yepnycyBmXGolplu_ZBU64wdD36dV15My2iT3BTt8VqPoj_qGtj=w122-h92-k-no,Wisata Edukasi
30,Budayaland,4.1,534.0,"Ujung Serdang, Kec. Tj. Morawa, Kabupaten Deli Serdang, Sumatera Utara 20362, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJoRnGA-45MTARt103VCTzrBE,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noiZdATpdV8jrmcvg7Hx7HGwKidu2RTgK8zGa3Y7xqwlDfU7KQAv9xKl_rtEOnXq7xJI2N8mWAWpzIDYfODhbnMJ6TzfOMlLAoP7vCkuRdOJRIGN6SZ02plFERkIxVFJ4DtWzRJzw=w163-h92-k-no,Wisata Edukasi
31,Edukasi Digital - Saparunesia Trip,5.0,1.0,"Ruko Bisnis Komplek Zahara 2, Jalan.B Rinte Raya No.3 Blok R, Simpang Selayang, Kec. Medan Tuntungan, Kota Medan, Sumatera Utara 20135, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ34AEpLklMTAR-zk_aRogdmM,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=n4BPJrIYF_pRfnM5djdKmw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=223.0829&pitch=0&thumbfov=100,Wisata Edukasi
32,Tjong A Fie Mansion,4.6,3279.0,"Jl. Jend. Ahmad Yani No.105, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20111, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJZ4ThickxMTARvvjDDIvvrcw,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq4VnHYZTGaOgoXmXSsE1MOcwRA_jAGNzhgWt1tbg_3cqqjbnKmJ52Qkr2f6N40Q8rSNlTBWCc_oqE9_1-UH-YQXHE3wE47GYW5B3AczFeahMdV7TQfbqJaHaGUy_BOfxrdVk9ckGAVWsco=w80-h106-k-no,Wisata Edukasi
33,TAMAN WISATA DANAU SIOMBAK MARELAN,4.0,1309.0,"Jl. Ps. Nippon, Paya Pasir, Kec. Medan Marelan, Kota Medan, Sumatera Utara 20252, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ935f953SNjARYn9Wo-1ZxvE,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqSm_axieRQgdqgjVlbB2_YvNDPRKX6OEJnkDzis1yuWQRg9QYeB2Cr3XQwpJllBwyrdttOs3_SNedmeUlHPCUOj6Xj61cR0T0G2uZ4Y0Y2Pp_8i9bvJ3aJZi44AF8GmZuPlVE=w122-h92-k-no,Wisata Edukasi
34,Tempat Edukasi SD - Saparunesia Trip,,,"Puri Zahara II, Jl. Bunga Rinte No.Raya Blok R Nomor III, Simpang Selayang, Kec. Medan Tuntungan, Kota Medan, Sumatera Utara 20135, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJfb8dAn8lMTARCfVOVGd7qKo,,Wisata Edukasi
35,PRIMA WISATA EDUKASI,,,"PJ29+Q97, Klumpang Kb., Kec. Hamparan Perak, Kabupaten Deli Serdang, Sumatera Utara 20256, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ6Vof4gfTNjARS4VImx6cvsU,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GBRtcFDE3L3gAjZer3tnFw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=132.43433&pitch=0&thumbfov=100,Wisata Edukasi
