,nama_tempat,rating,jumlah_ulasan,alamat,link,thumbnail,kategori
21,Cagar Budaya Puteri Hijau,4.5,2,"4G3P+CVX, Seberaya, Kec. Tigapanah, Kabupaten Karo, Sumatera Utara, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJv97HAgABMTARO_qQG28K12g,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2tR-ud_4ALpa0gA1BvlsWA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=216.7357&pitch=0&thumbfov=100,Wisata Budaya dan Sejarah
22,Museum Letjen Jamin Gintings,4.6,326,"3G6C+964, Suka, Kec. Tigapanah, Kabupaten Karo, Sumatera Utara 22171, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJzaeGrYOqMTARprk80XVYk-8,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np5HaDXsCq7rCHDh9KqDBfcDoc2fSVePWmAl4S8WDmVKwLAxJum4P4upW8_iNHki9w7gvCgEDUk371nTiHUWP4cZJQ_bMp7M39XaCZ-7OmRN1gCDAjPRwxC6w4bKayC10lRQRD5Fg=w138-h92-k-no,Wisata Budaya dan Sejarah
23,Tjong Yong Hian Gallery,4.4,87,"HMP9+GJG, Jl. Kejaksaan, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20151, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJte58l9ExMTAR6qHrIZChoSk,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqHTf_gtGtsbwufaXoAaXSpoeCt7e67xuVrlDo9vrhccDFAnL3BEvbderAXWg1rV-RSySZVbNDPLbx_azKk36d7zN36i5bLwB_jSJ1-Bcnp_IlXASndtRnaTgKbnv--5prBhJMv=w122-h92-k-no,Wisata Budaya dan Sejarah
24,"Wisata Desa Budaya To joyo ""SUGENG RAWUH""",5.0,1,"GXFF+2M9, Jl belimbing, Melati Dua, Kec. Perbaungan, Kabupaten Serdang Bedagai, Sumatera Utara 20986, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJi_LYOL1FMTARBWP5Fyp-LNw,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrVIXZ5oZYwnQydZwpb4Fw3IqR47J8h8_qeQUSHnpX7k61_Ev-Emx7YfidtPvCf-mfkJGFr1sLtm-3ieXRdL4wIfj-2YtclA3jlr6eo_0fEHVcXgHFHjocAnHfWcqbUs_GfsbQ4=w194-h92-k-no,Wisata Budaya dan Sejarah
25,Tugu Toga Aritonang,4.5,395,"Desa, Dolok Martumbur, Muara, North Tapanuli Regency, North Sumatra 22476, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJZbdkPOwbLjARl30-rDey_iY,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrzJylQTCdix9xANfcsdDCL9lxv_WjwErTy4ylFuZAhNu0rkVa6UmpFN1GP1YTqT8gFlwbC8qWyxnqio_cuh8BJZngZFC9DhwXzjLcO5k1YTNrYg7QM9ApXnyYqIBLU89EnIACl=w80-h106-k-no,Wisata Budaya dan Sejarah
26,Wisata Batu Katak,4.2,363,"Batu Katak, Kec, Jl. Utama, Lau Damak, Kec. Bohorok, Kabupaten Langkat, Sumatera Utara 20774, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJi6DMGaTPMDARkSUFDfQE1ZU,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npdUUlvtQcgZtoOy8BsWOHn7XEM652W0zPZ-Rdbhw1hXhry4ibo7EukNFDgf6LaM5Ue1b9j8VVH8khw-XfcbBWXi3Mpf4wcDE8evvn15AHXd2PTv-QOCYCni8o_uzKQ0c0ymxQ=w153-h92-k-no,Wisata Budaya dan Sejarah
27,"Oud Médan , Warenhuis",4.6,40,"HMQG+7M5, Jl. Hindu, Kesawan, Medan Barat, Medan City, North Sumatra, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJY-19wTcxMTARSXc_epiWwJE,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noYEgzulZkX6GknhRfTpORKblS7ftMCo6vMqIe__gA6cLRS_0rcpJmr6dqh2SsEL6xYuk_Tbzy39YExw0c1EmqNpmBQlnPF9drijVMQ5sbcU_g98Oh_RLzgJ4VwP4luLVGWwRE=w92-h92-k-no,Wisata Budaya dan Sejarah
28,Tugu Perjuangan Berastagi,4.5,2627,"5GV5+VH2, Jl. Listrik Atas, Gundaling I, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22153, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ1dLrqO0CMTAR_ksZg9viNbE,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqlQM9uYVkDWQkeA8JBDhWfO1doPOFGu2a1sJ1VCGmhYY4iVs1TnqBYzlUb0Ctb8nea-opORHAprynEPJWHZKxtW1BZMqkdK14yNduXMLeKoHIxO2ulGAv0pNxPIBle3Ifj0SkZ=w80-h106-k-no,Wisata Budaya dan Sejarah
29,Museum Daerah Deli Serdang,4.4,293,"HV28+WGQ, Petapahan, Kec. Lubuk Pakam, Kabupaten Deli Serdang, Sumatera Utara 20517, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJo_Wv4W5IMTARaxYL_Dc_BVM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npRL6DMroJAbXqnNgu7QxeXfflZXmzkKHRyFzqDqg0MDGKOg8iH63_Pxe3QFGqoXv8qEhKvy2iBem1NSC1xyOZQvRVnAXz388cVM5hCEozp_UQZzP4D5zQl4bhR-uzBT5RpG4vshA=w163-h92-k-no,Wisata Budaya dan Sejarah
30,Museum Situs Kotta Cinna,4.2,217,"PMF4+5PV, Jl. Kota Cina, Paya Pasir, Kec. Medan Marelan, Kota Medan, Sumatera Utara 20254, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ8ZatBZ_SNjARuNzsXtLdcwQ,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqSSbJwWovb2K211lF4ZcfNhYHwfp_jl5fmjYt3rkHoO-rwvzKI0W9L6-fWxMoh6A4ca1lA1LpO9Idcu1rKtrLfG4FVxeQSCCt0zOaMJO4FQNUqzk0eoG95BY0oFbeV0pYdNNReCw=w138-h92-k-no,Wisata Budaya dan Sejarah
31,Istana Maimun,4.3,1410,"Jl. Brigjend Katamso No.370, Sei Mati, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20214, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJr27Ah0QxMTARrEQbeT2JR98,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noRhyHTvgFhs1zSMnVzOInmE_UfYfxMdWX4XSb-p_kKbsd77pN662JlHrVADsUg7T5OX_w4JOPrhOCInOBfboDoqBgwJ7iRvJAGkJDZXMF3M7WhKH_ox86UQrsyWbXPaKsMNBAS4Q=w80-h106-k-no,Wisata Budaya dan Sejarah
32,"Menara "" Hindia Belanda "" Tirtanadi",4.6,164,"HMJP+V2H, Ps. Baru, Kec. Medan Kota, Kota Medan, Sumatera Utara 20212, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJIZoB47QxMTAROnD5LxzyTKQ,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noevs6etB-fFrilFCr9hUsoMG_kshTU2zquBS2tZMIxNI4lHutwEsRKwxSD1Z1eQUYYIlwe00HbI8Uxqead_306NumspQzi32ZLiGjz6vl_z11V2-U6fJOHVvwmLQ2UTiPF95T3=w80-h106-k-no,Wisata Budaya dan Sejarah
33,Tugu Titik Nol Peradaban Islam Nusantara,4.4,833,"2C53+86R, Ps. Batu Gerigis, Kec. Barus, Kabupaten Tapanuli Tengah, Sumatera Utara 22564, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJTx47mtOzLzAR5IUg-w2s31M,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqdSobNG0nkeAE9DJsgBY0Jml0OqMS14DTFAAf-OD4AdhC2MLjpSqHe1Kl__b-OfYazoovHs7vUEayxeIu3WIHe_l_lHIS6gtHRy2svf5FrkZgc_EBVqrzX0raqJ1kkur4hhBKd=w122-h92-k-no,Wisata Budaya dan Sejarah
34,Taman Budaya Sumatera Utara,5.0,1,"HJWJ+7PH, Jl. Gatot Subroto, Sei Sikambing C. II, Kec. Medan Helvetia, Kota Medan, Sumatera Utara 20123, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJedD1N3MvMTARHjsNLbk2Y4U,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr4B_0fdrremcJ-W5vBk_BE0I2VJu1uNebAQMPhHN6DoVilxau9seaTFetWByrpLutiILqF5xIwj1a-bssAsM8w8883RqIHdrGCyb47OBj7ydF39W3I1n_-Uw4jnb0U6xawTVGa=w138-h92-k-no,Wisata Budaya dan Sejarah
35,Candi Bahal I,4.5,288,"CP5G+PM7, Desa Bahal, Padang Bolak, Sibatu Loting, Kec. Barumun Tengah, Kabupaten Padang Lawas Utara, Sumatera Utara 22741, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJq6qqqqpGLDARJymyTFer7fc,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrHO5dtO65OKEE7qj9wuCjuoca_ZapmdAW1BiaQ69NbqfgLTKxogwJ2hyrCUSPI4eami2N6AtQNFZd7-GNapQtiuaECnVzaR6n7Q5z4kKeyqBM5jKNQ-MllzIsUg0HWDR_hWQfl=w80-h106-k-no,Wisata Budaya dan Sejarah
36,Batu Gantung,4.5,688,"MWQF+9P3, Lake Toba, Kabupaten Simalungun, Sumatera Utara 21174, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJO4-1RonrMTARirgjVrXCtcs,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nplGCsNOjiKYgBFpLG1x6L5pIl9Nboks8c8npBtLMkmIVI-9NviJ0xlUo369R5tUvKCqhmvNj6nKvM5HV96e9FsHwjbVI0RudI3qIft9XkmLMDFTuPHV1AppVXcOTUPqXXDaRzM=w122-h92-k-no,Wisata Budaya dan Sejarah
37,Museum Simalungun,4.2,256,"X336+PC8, Jalan Jenderal Sudirman P, Proklamasi, Kec. Siantar Bar., Kota Pematang Siantar, Sumatera Utara 21144, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJq8B4OFmEMTARe95ejXCLSWQ,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nobIoK4Y0vBJkCgU-NV5euB-ymYjktnTxYwKIqugTPaG6quTiQyEeKzUBt8JntiKgDzOuYZvH7zUwaAzXilEJ_34PjQ2eM9VIZEI6phWxBS6Z1TJduwwCI43R7hMXg7P-ASwrYA=w122-h92-k-no,Wisata Budaya dan Sejarah
38,Vihara Gunung Timur,4.7,544,"Jl. Hang Tuah No.16, Madras Hulu, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20151, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJz_41qy0wMTARGhpYhUhdZAE,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqMmnq2R-Y5y9KjL53SO4Z80_JyWiB7y_4Qsu9_5h3GymKKsO9BfYCoFzhhvzu4__Zw0Tfq-mgkVgnLMbLEIrHdQEDJVc7mbvE7EmHLt1gkz8oHVH6yz9AAnW427SJRRwB5KIB_=w122-h92-k-no,Wisata Budaya dan Sejarah
39,Adipura Monument,4.3,551,"JM49+MP5, Jl. T. Amir Hamzah, Sei Agul, Kec. Medan Bar., Kota Medan, Sumatera Utara 20235, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJhZIqweUxMTARMUOS58Lyrbs,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq8VfLdpUss6QHq7ieWNo-kjZZ1fhL0NwqtSJyu2wqNRAwjhnytBeiVu__TVGet0SnawqNxoUKTcOBRcd9RCGZjNTNsiJ63Gt8sqQAMMzh___eHgMZs5hU0A4PZn6OUxAztzOJ9xg=w163-h92-k-no,Wisata Budaya dan Sejarah
